77;Female;1;28.36;100.610722024;92.3173783361;1;1;1 3 11 16 19 22 24 29;140.0
78;Male;0;23.32;67.4515050167;61.6479703587;6;1;6 13 17 20 22 24 29;114.0
79;Male;1;21.92;86.9072650073;80.3302852557;2;1;2 3 11 16 19 22 24 29;140.0
80;Female;1;28.29;81.9978855851;75.233341519;6;1;6 13 17 20 22 24 29;114.0
81;Female;1;19.37;98.7949886641;89.6239677352;4;1;4 5 12 17 20 22 24 29;140.0
82;Female;1;24.39;83.7663371108;76.5928418215;8;1;8 15 17 20 22 24 29;118.0
83;Male;0;25.85;81.1834827031;76.8006640535;4;1;4 5 12 17 20 22 24 29;140.0
84;Male;1;22.43;72.0838494292;66.5895750988;5;1;5 12 17 20 22 24 29;116.0
85;Female;1;24.04;82.352909549;75.3025192409;5;1;5 12 17 20 22 24 29;116.0
86;Female;0;25.6;90.8201241323;84.0077308183;2;1;2 3 11 16 19 22 24 29;140.0
87;Male;1;27.44;72.8638973185;67.5591610896;5;1;5 12 17 20 22 24 29;116.0
88;Female;0;26.74;90.8201241323;84.0077308183;2;1;2 3 11 16 19 22 24 29;140.0
89;Male;1;24.81;86.9072650073;80.3302852557;0;1;0 3 11 16 19 22 24 29;140.0
90;Female;1;23.42;99.314040291;90.7863902086;4;1;4 5 12 17 20 22 24 29;140.0
91;Female;0;25.6;75.3025192409;69.6505138818;5;1;5 12 17 20 22 24 29;116.0
92;Female;1;25.7;81.9978855851;75.233341519;6;1;6 13 17 20 22 24 29;114.0
93;Female;1;24.14;97.9006127292;89.496067628;7;1;7 6 13 17 20 22 24 29;138.0
94;Male;0;27.36;80.6299194708;78.4478425043;2;1;2 3 11 16 19 22 24 29;140.0
95;Female;0;22.72;89.7870796758;82.7660826159;1;1;1 3 11 16 19 22 24 29;140.0
96;Male;1;28.29;71.6138973185;66.3997407997;6;1;6 13 17 20 22 24 29;114.0
97;Female;0;25.72;90.8201241323;84.0077308183;2;1;2 3 11 16 19 22 24 29;140.0
98;Male;1;23.72;73.31461866;67.7324322417;8;1;8 15 17 20 22 24 29;118.0
99;Female;0;26.63;90.7863902086;83.9788720908;4;1;4 5 12 17 20 22 24 29;140.0
100;Female;0;25.06;75.3025192409;69.6505138818;5;1;5 12 17 20 22 24 29;116.0
101;Female;0;27.31;90.8201241323;84.0077308183;2;1;2 3 11 16 19 22 24 29;140.0
102;Male;0;28.29;84.4557658376;76.9937123562;0;1;0 3 11 16 19 22 24 29;140.0
103;Male;1;23.72;73.3688034689;67.7588566843;3;1;3 11 16 19 22 24 29;118.0
104;Female;1;23.78;83.7966248443;76.6265757452;3;1;3 11 16 19 22 24 29;118.0
105;Male;1;28.64;72.8638973185;67.5591610896;5;1;5 12 17 20 22 24 29;116.0
106;Female;1;22.32;99.314040291;90.7863902086;4;1;4 5 12 17 20 22 24 29;140.0
107;Male;0;24.21;82.8346658173;80.5574007975;4;1;4 5 12 17 20 22 24 29;140.0
108;Female;1;23.05;99.314040291;90.7863902086;4;1;4 5 12 17 20 22 24 29;140.0
109;Male;1;28.34;74.1455428881;68.7457818555;3;1;3 11 16 19 22 24 29;118.0
110;Male;1;26.55;87.8638973185;81.4722045679;4;1;4 5 12 17 20 22 24 29;140.0
111;Male;0;25.21;69.9905433541;65.5058746445;5;1;5 12 17 20 22 24 29;116.0
